X_location,Layer
2128.3783783783783,1
2327.027027027027,1
2325.675675675676,1
2402.702702702703,1
2110.810810810811,1
2418.9189189189187,1
2186.4864864864867,1
2179.7297297297296,1
101.35135135135135,1
2248.6486486486488,1
1906.7567567567569,1
2285.135135135135,1
2360.810810810811,1
2040.5405405405406,1
2190.5405405405404,1
2175.675675675676,1
2454.054054054054,1
2370.2702702702704,1
2352.702702702703,1
2348.6486486486488,1
1352.7027027027027,1
2358.1081081081084,1
2368.9189189189187,1
2482.4324324324325,1
2471.6216216216217,1
2339.189189189189,1
2555.4054054054054,1
2543.2432432432433,1
2525.675675675676,1
2474.324324324324,1
2481.0810810810813,1
2478.3783783783783,1
2471.6216216216217,1
2475.675675675676,1
2536.4864864864867,1
2467.5675675675675,1
2466.2162162162163,1
2320.2702702702704,1
2493.2432432432433,1
1604.0540540540542,1
2564.864864864865,1
2335.135135135135,1
2413.5135135135133,1
2418.9189189189187,1
2416.2162162162163,1
2497.2972972972975,1
2412.162162162162,1
2409.4594594594596,1
2532.4324324324325,1
2331.0810810810813,1
2304.054054054054,1
2413.5135135135133,1
2443.2432432432433,1
2450.0,1
2300.0,1
1744.5945945945946,1
1552.7027027027027,1
2420.2702702702704,1
2321.6216216216217,1
2293.2432432432433,1
2568.9189189189187,1
766.2162162162163,1
2275.675675675676,1
2248.6486486486488,1
2258.1081081081084,1
1581.081081081081,1
1181.081081081081,1
2075.675675675676,1
2074.324324324324,1
2054.054054054054,1
2051.3513513513512,1
2360.810810810811,1
1554.0540540540542,1
562.1621621621622,1
2087.837837837838,1
2543.2432432432433,1
2186.4864864864867,1
2179.7297297297296,1
1564.8648648648648,1
1575.6756756756756,1
1393.2432432432433,1
2082.4324324324325,1
2079.7297297297296,1
1581.081081081081,1
1495.945945945946,1
2139.189189189189,1
2089.189189189189,1
2286.4864864864867,1
2281.0810810810813,1
1540.5405405405406,1
1456.7567567567569,1
1333.7837837837837,1
1637.837837837838,1
1558.1081081081081,1
559.4594594594595,1
1545.945945945946,1
1486.4864864864865,1
1428.3783783783783,1
613.5135135135135,1
1431.081081081081,1
1418.918918918919,1
755.4054054054054,1
627.0270270270271,1
2068.9189189189187,1
2041.8918918918919,1
787.8378378378378,1
2128.3783783783783,1
840.5405405405405,1
2071.6216216216217,2
1528.3783783783783,2
1489.1891891891892,2
2067.5675675675675,2
700.0,2
1336.4864864864865,2
837.8378378378378,2
585.1351351351351,2
825.6756756756757,2
1485.1351351351352,2
952.7027027027027,2
75.67567567567568,2
832.4324324324324,4
586.4864864864865,6
745.9459459459459,6
566.2162162162163,6
839.1891891891892,7
831.081081081081,9
718.918918918919,9
1386.4864864864865,9
1481.081081081081,10
825.6756756756757,12
837.8378378378378,13
1497.2972972972973,15
1468.918918918919,15
648.6486486486486,15
1978.3783783783783,17
833.7837837837837,20
1400.0,21
831.081081081081,22
1983.7837837837837,23
1400.0,24
1316.2162162162163,24
658.1081081081081,24
1989.1891891891892,24
1444.5945945945946,24
1443.2432432432433,24
1318.918918918919,24
824.3243243243244,24
1977.027027027027,24
1458.1081081081081,25
1381.081081081081,25
817.5675675675676,25
1439.1891891891892,25
670.2702702702703,25
836.4864864864865,25
1409.4594594594594,25
1493.2432432432433,25
1417.5675675675675,25
1959.4594594594596,25
1510.8108108108108,25
1389.1891891891892,25
1500.0,25
2139.189189189189,26
1958.1081081081081,26
1932.4324324324325,26
812.1621621621622,26
1956.7567567567569,26
1932.4324324324325,26
1362.162162162162,26
1354.0540540540542,26
1367.5675675675675,26
1331.081081081081,26
1845.945945945946,26
1367.5675675675675,26
2290.5405405405404,26
1424.3243243243244,26
1822.972972972973,26
1810.8108108108108,26
1805.4054054054054,26
1055.4054054054054,26
1285.1351351351352,26
2460.810810810811,26
2040.5405405405406,26
2545.945945945946,26
1766.2162162162163,26
1679.7297297297298,26
1439.1891891891892,26
1714.8648648648648,26
1572.972972972973,26
1798.6486486486488,26
1937.837837837838,26
713.5135135135135,27
2397.2972972972975,27
2021.6216216216217,27
2014.8648648648648,27
2009.4594594594596,27
2548.6486486486488,27
2362.162162162162,27
2377.027027027027,27
2418.9189189189187,27
2410.810810810811,27
2389.189189189189,27
2368.9189189189187,27
2363.5135135135133,27
2347.2972972972975,27
2351.3513513513512,27
1329.7297297297298,27
1322.972972972973,27
952.7027027027027,27
1102.7027027027027,27
956.7567567567568,27
986.4864864864865,27
955.4054054054054,27
1839.1891891891892,27
183.78378378378378,27
58.10810810810811,27
50.0,27
100.0,27
74.32432432432432,27
1886.4864864864865,27
1864.8648648648648,27
214.86486486486487,27
201.35135135135135,27
194.5945945945946,27
286.4864864864865,27
247.2972972972973,27
193.24324324324326,27
118.91891891891892,27
1859.4594594594596,27
1837.837837837838,27
206.75675675675677,27
141.8918918918919,27
1845.945945945946,27
601.3513513513514,27
274.3243243243243,28
2568.9189189189187,28
1883.7837837837837,28
732.4324324324324,28
727.0270270270271,28
285.13513513513516,28
179.72972972972974,28
2252.702702702703,28
2241.891891891892,28
2233.7837837837837,28
591.8918918918919,28
575.6756756756757,28
2570.2702702702704,28
2245.945945945946,28
695.9459459459459,28
691.8918918918919,28
2563.5135135135138,28
791.8918918918919,28
759.4594594594595,28
544.5945945945946,28
2200.0,28
2118.9189189189187,28
750.0,28
733.7837837837837,29
659.4594594594595,29
654.0540540540541,29
633.7837837837837,29
629.7297297297297,29
505.4054054054054,29
301.35135135135135,29
808.1081081081081,29
689.1891891891892,29
658.1081081081081,29
655.4054054054054,29
645.9459459459459,29
640.5405405405405,29
535.1351351351351,29
459.4594594594595,29
428.3783783783784,29
809.4594594594595,29
694.5945945945946,29
668.918918918919,29
663.5135135135135,29
651.3513513513514,29
622.972972972973,29
2222.972972972973,29
1348.6486486486488,29
1297.2972972972973,29
921.6216216216217,30
647.2972972972973,30
640.5405405405405,30
636.4864864864865,30
510.81081081081084,30
464.8648648648649,30
337.83783783783787,30
1270.2702702702702,30
679.7297297297297,30
656.7567567567568,30
1418.918918918919,30
1383.7837837837837,31
1348.6486486486488,31
937.8378378378378,31
686.4864864864865,31
364.86486486486484,31
1943.2432432432433,31
1585.1351351351352,32
1212.162162162162,32
1181.081081081081,32
1122.972972972973,32
1040.5405405405406,32
960.8108108108108,33
697.2972972972973,40
691.8918918918919,40
